year,code,country_origin,country_consignment,net_mass,cif_etb,cif_usd
2016,1022100,Netherlands,Belgium,36400,3343825.84,154817.5
2016,1051100,France,France,56,64273.64,2975.84
2016,1051100,Netherlands,Germany,3193,1640793.2,75967.92
2016,1051300,United Kingdom,United Kingdom,476,963758.46,44621.55
2016,1059910,Brazil,Brazil,2925,6266614.48,290141.18
2016,1059910,Bulgaria,Bulgaria,640,234639.04,10863.67
2016,1059910,France,France,256,542433.99,25114.43
2016,1059910,Germany,Germany,585,1279751.51,59251.87
2016,1059910,Kenya,Kenya,280,77665.56,3595.88
2016,1059910,Netherlands,Netherlands,8878.8,14150731.33,655171.95
2016,1059990,Netherlands,Netherlands,447,1121227.76,51912.29
2016,1059990,Spain,Germany,293,837669.99,38783.71
2016,1069000,China,China,50.35,6115.18,283.13
2016,1069000,Kenya,Kenya,1347,4818193.96,223080.02
2016,1069000,Netherlands,Netherlands,41591,48408734.75,2241300.77
2016,1069000,Slovakia,Austria,3,11176.04,517.45
2016,2011000,United Arab Emirates,United Arab Emirates,482,135625.04,6279.37
2016,2022000,China,China,87,8526.31,394.76
2016,2023000,China,China,65,4790.05,221.78
2016,2023000,South Africa,South Africa,258,84096.48,3893.63
2016,2023000,United Arab Emirates,United Arab Emirates,1927,167052.87,7734.47
2016,2031200,China,China,193,14242.9,659.44
2016,2031900,China,China,2644.61,273490.22,12662.46
2016,2031900,Italy,Italy,241.31,80987.71,3749.69
2016,2032200,Kenya,Kenya,1408,158286.4,7328.58
2016,2032900,China,China,64,4790.05,221.78
2016,2032900,France,France,330,62370.24,2887.71
2016,2032900,South Africa,South Africa,2555,573885.3,26570.61
2016,2043000,New Zealand,Sweden,65.89,5979.05,276.83
2016,2044300,United States,United Arab Emirates,476,218740.21,10127.56
2016,2062900,China,China,42,3070.61,142.17
2016,2062900,China,Hong Kong,110,26859.2,1243.57
2016,2069000,Netherlands,Netherlands,55,274789.46,12722.62
2016,2071100,China,China,322,75582.33,3499.42
2016,2071100,South Africa,South Africa,25.44,737.35,34.14
2016,2071200,Germany,Germany,80,73247.42,3391.32
2016,2071200,United Kingdom,United Kingdom,4515,1100505.07,50952.85
2016,2071400,Brazil,Brazil,27343.68,1279226.49,59227.56
2016,2071400,Brazil,United Arab Emirates,14591,218814.46,10131
2016,2071400,Turkey,Turkey,5476.7,376993.73,17454.63
