year,code,country_origin,country_consignment,net_mass,cif_etb,cif_usd
2014,85366900,United States,Tanzania,1,1305.62,64.82
2014,85021100,Indonesia,Tanzania,3394,37086.98,1841.13
2014,84129000,United States,Tanzania,100,763611.8,37908.41
2014,85371000,Taiwan,Taiwan,19,1673.92,83.11
2014,84022000,Taiwan,Taiwan,1200,326688.39,16217.97
2014,90318000,China,Taiwan,1,5691.73,282.56
2014,85365000,China,Taiwan,8,15187.55,753.96
2014,85176900,China,Taiwan,95,141734.14,7036.19
2014,84818000,China,Taiwan,8,9573.61,475.27
2014,76069200,India,Taiwan,200,6480.3,321.71
2014,73209000,China,Taiwan,8,8112.35,402.73
2014,94035090,South Korea,South Korea,297,87709.89,4354.23
2014,90101000,South Korea,South Korea,2225,853491.2,42370.33
2014,85423100,South Korea,South Korea,24,90601.88,4497.8
2014,85235100,South Korea,South Korea,1,683.37,33.92
2014,85181000,South Korea,South Korea,548.5,315555.76,15665.31
2014,84824000,South Korea,South Korea,131.52,91850.32,4559.77
2014,84592900,South Korea,South Korea,2.7,7255.01,360.16
2014,84209900,South Korea,South Korea,1477.01,16282.99,808.35
2014,82142000,South Korea,South Korea,0.09,248.02,12.31
2014,73249000,South Korea,South Korea,321,94964.1,4714.36
2014,70181090,South Korea,South Korea,11475,407909.36,20250.07
2014,61052000,South Korea,South Korea,18,10150.45,503.9
2014,59049000,South Korea,South Korea,16360,275202.71,13662.04
2014,42022190,South Korea,South Korea,26.9,11336.03,562.76
2014,40121900,South Korea,South Korea,50,126.09,6.26
2014,38243000,South Korea,South Korea,100,37962.05,1884.57
2014,29157090,South Korea,South Korea,10000,543530.86,26982.81
2014,87089900,South Korea,South Korea,19557.57,8655209.66,429675.4
2014,84834000,Italy,South Korea,13.5,15043.79,746.83
2014,84813000,South Korea,South Korea,75,103334.7,5129.9
2014,84812000,United States,South Korea,1.97,294.26,14.61
2014,84314900,China,South Korea,3472.13,368108.38,18274.21
2014,84294000,China,South Korea,17315,1415657.24,70278.26
2014,84212390,China,South Korea,600,383753.38,19050.88
2014,84099190,China,South Korea,105,30853.63,1531.68
2014,73269090,China,South Korea,14263.31,374864.99,18609.63
2014,62034900,China,South Korea,126.31,4063.26,201.72
2014,40169300,United States,South Korea,109.75,64209.55,3187.59
2014,40169300,Germany,South Korea,7,2205.58,109.49
2014,40169300,China,South Korea,120,35207.93,1747.85
2014,40111000,United Arab Emirates,South Korea,22567,1781552.89,88442.63
2014,40103100,China,South Korea,36.62,41906.83,2080.4
2014,39072000,China,South Korea,748000,17956124.09,891405.91
2014,33029090,Indonesia,South Korea,1000,110682.49,5494.67
2014,28353100,China,South Korea,96000,2105845.21,104541.65
2014,27101990,Turkey,South Korea,49232.59,3510170.68,174257.37
2014,85369000,South Korea,South Korea,401,198704.33,9864.39
2014,85361000,South Korea,South Korea,40.39,7776.45,386.05
2014,84181090,South Korea,South Korea,50,9939.12,493.41
2014,40103100,South Korea,South Korea,48.97,9384.13,465.86
2014,84145900,United Arab Emirates,South Korea,200,205283.28,10190.99
